Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
SUSE Enterprise Linux Security Update for cups-filters (SUSE-SU-2025:4158-1);INFRA;Armando Junior;srv20las016;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4158-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023312.html);"#table cols=""3""
Package Installed_Version Required_Version
cups-filters 1.25.0-150200.3.22.1.x86__64 1.25.0-150200.3.25.1
"
SUSE Enterprise Linux Security Update for ghostscript (SUSE-SU-2025:4148-1);INFRA;Armando Junior;srv20las016;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4148-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023308.html);"#table cols=""3""
Package Installed_Version Required_Version
ghostscript 9.52-150000.206.1.x86__64 9.52-150000.211.1
ghostscript-x11 9.52-150000.206.1.x86__64 9.52-150000.211.1
"
IP Forwarding Enabled;INFRA;Armando Junior;srv20las016;2;ACTIVE;"Disable IP forwarding by following the appropriate instructions below: 

On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
(Disable IP forwarding by following the appropriate instructions below: 
<UL>
<LI>On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
<LI>On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
<LI>On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
<LI>On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
</UL>)";"sysctl net.ipv4.ip_forward
net.ipv4.ip_forward = 1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0894-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0894-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024697.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.42.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.42.1
"
SUSE Enterprise Linux Security Update for gnutls (SUSE-SU-2026:0829-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0829-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024630.html);"#table cols=""3""
Package Installed_Version Required_Version
libgnutls30 3.8.3-150600.4.9.1.x86__64 3.8.3-150600.4.17.1
"
SUSE Enterprise Linux Security Update for libxslt (SUSE-SU-2026:0801-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0801-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024570.html);"#table cols=""3""
Package Installed_Version Required_Version
libxslt1 1.1.34-150400.3.13.1.x86__64 1.1.34-150400.3.16.1
"
SUSE Enterprise Linux Security Update for python-pip (SUSE-SU-2026:0805-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0805-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024567.html);"#table cols=""3""
Package Installed_Version Required_Version
python311-pip 22.3.1-150400.17.16.4.noarch 22.3.1-150400.17.19.1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0788-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0788-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024530.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.37.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.37.1
"
SUSE Enterprise Linux Security Update for python311 (SUSE-SU-2026:0767-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0767-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024550.html);"#table cols=""3""
Package Installed_Version Required_Version
python311-base 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
libpython3__11-1__0 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311-dbm 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311-curses 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
"
SUSE Enterprise Linux Security Update for zlib (SUSE-SU-2026:0783-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0783-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024535.html);"#table cols=""3""
Package Installed_Version Required_Version
libz1 1.2.13-150500.4.3.1.x86__64 1.2.13-150500.4.6.1
"
SUSE Enterprise Linux Security Update for shim (SUSE-SU-2026:0741-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0741-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024522.html);"#table cols=""3""
Package Installed_Version Required_Version
shim 15.8-150300.4.23.1.x86__64 16.1-150300.4.31.3
"
SUSE Enterprise Linux Security Update for python3 (SUSE-SU-2026:0664-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0664-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024446.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-base 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
libpython3__6m1__0 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
python3 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-curses 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-dbm 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
"
SUSE Enterprise Linux Security Update for expat (SUSE-SU-2026:0646-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0646-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024401.html);"#table cols=""3""
Package Installed_Version Required_Version
libexpat1 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
expat 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
"
SUSE Enterprise Linux Security Update for libxml2 (SUSE-SU-2026:0605-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0605-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024371.html);"#table cols=""3""
Package Installed_Version Required_Version
libxml2-2 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
libxml2-tools 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
"
SUSE Enterprise Linux Security Update for sqlite3 (SUSE-SU-2026:0432-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0432-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024116.html);"#table cols=""3""
Package Installed_Version Required_Version
sqlite3-tcl 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
libsqlite3-0 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
"
SUSE Enterprise Linux Security Update for python-urllib3 (SUSE-SU-2026:0443-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0443-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024105.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-urllib3 1.25.10-150300.4.18.1.noarch 1.25.10-150300.4.21.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0373-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0373-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024047.html);"#table cols=""3""
Package Installed_Version Required_Version
libgobject-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
libgio-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
libgmodule-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
libglib-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
libgthread-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
glib2-tools 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.35.1
glib2-lang 2.78.6-150600.4.22.1.noarch 2.78.6-150600.4.35.1
"
SUSE Enterprise Linux Security Update for protobuf (SUSE-SU-2026:0374-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0374-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024046.html);"#table cols=""3""
Package Installed_Version Required_Version
libprotobuf-lite25__1__0 25.1-150600.16.13.1.x86__64 25.1-150600.16.16.1
"
SUSE Enterprise Linux Security Update for libpng16 (SUSE-SU-2026:0364-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0364-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024034.html);"#table cols=""3""
Package Installed_Version Required_Version
libpng16-16 1.6.40-150600.1.3.x86__64 1.6.40-150600.3.9.1
"
SUSE Enterprise Linux Security Update for python311 (SUSE-SU-2026:0314-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0314-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023980.html);"#table cols=""3""
Package Installed_Version Required_Version
libpython3__11-1__0 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.41.2
python311-base 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.41.2
python311-curses 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.41.2
python311-dbm 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.41.2
python311 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.41.2
"
SUSE Enterprise Linux Security Update for abseil-cpp (SUSE-SU-2026:0338-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0338-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023984.html);"#table cols=""3""
Package Installed_Version Required_Version
libabsl2401__0__0 20240116.3-150600.19.3.15.x86__64 20240116.3-150600.19.6.1
"
SUSE Enterprise Linux Security Update for openjpeg2 (SUSE-SU-2026:0330-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0330-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023982.html);"#table cols=""3""
Package Installed_Version Required_Version
libopenjp2-7 2.3.0-150000.3.21.1.x86__64 2.3.0-150000.3.24.1
"
SUSE Enterprise Linux Security Update for harfbuzz (SUSE-SU-2026:0287-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0287-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023911.html);"#table cols=""3""
Package Installed_Version Required_Version
libharfbuzz0 8.3.0-150600.1.3.x86__64 8.3.0-150600.3.3.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0286-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0286-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023912.html);"#table cols=""3""
Package Installed_Version Required_Version
libglib-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
libgmodule-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
libgobject-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
libgthread-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
glib2-tools 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
libgio-2__0-0 2.78.6-150600.4.22.1.x86__64 2.78.6-150600.4.28.1
glib2-lang 2.78.6-150600.4.22.1.noarch 2.78.6-150600.4.28.1
"
SUSE Enterprise Linux Security Update for avahi (SUSE-SU-2026:0259-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0259-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023889.html);"#table cols=""3""
Package Installed_Version Required_Version
libavahi-glib1 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
libavahi-client3 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
libavahi-common3 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
"
SUSE Enterprise Linux Security Update for util-linux (SUSE-SU-2026:0230-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0230-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023855.html);"#table cols=""3""
Package Installed_Version Required_Version
util-linux-systemd 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libblkid1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libfdisk1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libsmartcols1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libuuid1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
util-linux 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libmount1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
util-linux-lang 2.40.4-150700.2.4.noarch 2.40.4-150700.4.3.1
"
SUSE Enterprise Linux Security Update for librsvg (SUSE-SU-2026:0243-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0243-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023846.html);"#table cols=""3""
Package Installed_Version Required_Version
gdk-pixbuf-loader-rsvg 2.57.1-150600.1.7.x86__64 2.57.4-150600.3.3.1
librsvg-2-2 2.57.1-150600.1.7.x86__64 2.57.4-150600.3.3.1
"
SUSE Enterprise Linux Security Update for busybox (SUSE-SU-2026:0235-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0235-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023850.html);"#table cols=""3""
Package Installed_Version Required_Version
busybox-static 1.37.0-150700.18.7.1.x86__64 1.37.0-150700.18.10.1
"
SUSE Enterprise Linux Security Update for curl (SUSE-SU-2026:0221-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0221-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023864.html);"#table cols=""3""
Package Installed_Version Required_Version
libcurl4 8.14.1-150700.7.5.1.x86__64 8.14.1-150700.7.11.1
curl 8.14.1-150700.7.5.1.x86__64 8.14.1-150700.7.11.1
"
Azure Connected Machine Agent Elevation of Privilege Vulnerability - January 2026;INFRA;Armando Junior;srv10las100;3;ACTIVE;"Customers are advised to refer to 
CVE-2026-21224
for more information on these vulnerabilities and their patches.(Customers are advised to refer to 
https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2026-21224
for more information on these vulnerabilities and their patches.)";"azcmagent version
azcmagent version  1.59.03246.734
"
SUSE Enterprise Linux Security Update for cups (SUSE-SU-2025:4425-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4425-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023570.html);"#table cols=""3""
Package Installed_Version Required_Version
libcupsmime1 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
libcupscgi1 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
libcupsimage2 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
cups 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
cups-config 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
libcupsppdc1 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
libcups2 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
cups-client 2.2.7-150000.3.80.1.x86__64 2.2.7-150000.3.83.1
"
SUSE Enterprise Linux Security Update for rsync (SUSE-SU-2025:4511-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4511-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023645.html);"#table cols=""3""
Package Installed_Version Required_Version
rsync 3.2.7-150600.3.11.1.x86__64 3.2.7-150600.3.14.1
"
SUSE Enterprise Linux Security Update for poppler (SUSE-SU-2025:4434-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4434-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023581.html);"#table cols=""3""
Package Installed_Version Required_Version
libpoppler135 24.03.0-150600.3.24.1.x86__64 24.03.0-150600.3.27.1
libpoppler-cpp0 24.03.0-150600.3.24.1.x86__64 24.03.0-150600.3.27.1
poppler-tools 24.03.0-150600.3.24.1.x86__64 24.03.0-150600.3.27.1
"
SUSE Enterprise Linux Security Update for xkbcomp (SUSE-SU-2025:4426-1);INFRA;Armando Junior;srv10las100;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4426-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023569.html);"#table cols=""3""
Package Installed_Version Required_Version
xkbcomp 1.4.1-150000.3.3.2.x86__64 1.4.1-150000.3.6.1
"
SUSE Enterprise Linux Security Update for python3 (SUSE-SU-2025:4368-1);INFRA;Armando Junior;srv10las100;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4368-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023523.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-dbm 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3-curses 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3-base 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.100.1
libpython3__6m1__0 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.100.1
"
IP Forwarding Enabled;INFRA;Armando Junior;srv10las100;2;ACTIVE;"Disable IP forwarding by following the appropriate instructions below: 

On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
(Disable IP forwarding by following the appropriate instructions below: 
<UL>
<LI>On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
<LI>On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
<LI>On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
<LI>On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
</UL>)";"sysctl net.ipv4.ip_forward
net.ipv4.ip_forward = 1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0894-1);INFRA;Armando Junior;srv10las099;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0894-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024697.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.42.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.42.1
"
SUSE Enterprise Linux Security Update for gnutls (SUSE-SU-2026:0829-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0829-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024630.html);"#table cols=""3""
Package Installed_Version Required_Version
libgnutls30 3.8.3-150600.4.9.1.x86__64 3.8.3-150600.4.17.1
"
SUSE Enterprise Linux Security Update for libxslt (SUSE-SU-2026:0801-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0801-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024570.html);"#table cols=""3""
Package Installed_Version Required_Version
libxslt1 1.1.34-150400.3.13.1.x86__64 1.1.34-150400.3.16.1
"
SUSE Enterprise Linux Security Update for python-pip (SUSE-SU-2026:0805-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0805-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024567.html);"#table cols=""3""
Package Installed_Version Required_Version
python311-pip 22.3.1-150400.17.16.4.noarch 22.3.1-150400.17.19.1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0788-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0788-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024530.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.37.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.37.1
"
SUSE Enterprise Linux Security Update for python311 (SUSE-SU-2026:0767-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0767-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024550.html);"#table cols=""3""
Package Installed_Version Required_Version
python311-base 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
libpython3__11-1__0 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311-dbm 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
python311-curses 3.11.14-150600.3.38.1.x86__64 3.11.14-150600.3.44.1
"
SUSE Enterprise Linux Security Update for zlib (SUSE-SU-2026:0783-1);INFRA;Armando Junior;srv10las099;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0783-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024535.html);"#table cols=""3""
Package Installed_Version Required_Version
libz1 1.2.13-150500.4.3.1.x86__64 1.2.13-150500.4.6.1
"
SUSE Enterprise Linux Security Update for shim (SUSE-SU-2026:0741-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0741-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024522.html);"#table cols=""3""
Package Installed_Version Required_Version
shim 15.8-150300.4.23.1.x86__64 16.1-150300.4.31.3
"
SUSE Enterprise Linux Security Update for python3 (SUSE-SU-2026:0664-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0664-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024446.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-base 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
libpython3__6m1__0 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
python3 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-curses 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-dbm 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
"
SUSE Enterprise Linux Security Update for expat (SUSE-SU-2026:0646-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0646-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024401.html);"#table cols=""3""
Package Installed_Version Required_Version
libexpat1 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
expat 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
"
SUSE Enterprise Linux Security Update for libxml2 (SUSE-SU-2026:0605-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0605-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024371.html);"#table cols=""3""
Package Installed_Version Required_Version
libxml2-2 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
libxml2-tools 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
"
SUSE Enterprise Linux Security Update for sqlite3 (SUSE-SU-2026:0432-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0432-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024116.html);"#table cols=""3""
Package Installed_Version Required_Version
sqlite3-tcl 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
libsqlite3-0 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
"
SUSE Enterprise Linux Security Update for python-urllib3 (SUSE-SU-2026:0443-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0443-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024105.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-urllib3 1.25.10-150300.4.18.1.noarch 1.25.10-150300.4.21.1
"
SUSE Enterprise Linux Security Update for protobuf (SUSE-SU-2026:0374-1);INFRA;Armando Junior;srv10las099;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0374-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024046.html);"#table cols=""3""
Package Installed_Version Required_Version
libprotobuf-lite25__1__0 25.1-150600.16.13.1.x86__64 25.1-150600.16.16.1
"
